,title,date,view
0,유치원에서 새로운 남자친구가 생겼다는 하임이.. ,23시간 전 13분 14초," 402,093"
1,vlog💕홍구&샛별&하임 가족 하루 일상 Story~😊 ,1일 전 8분 3초," 294,425"
2,서운한거 말하래서 말했을뿐인데.... ,3일 전 7분 1초," 359,314"
3,시청자분이 보내주신 음식들때문에 온가족 총출동 했습니다.🙏 ,4일 전 8분 44초," 399,947"
4,국밥 먹으면서 알려드리고 싶은 이야기🏠 ,1주 전 10분 20초," 686,764"
5,홍구한테 서열밀려서 장모님한테 서운함 최대치인 막내처제ㅋㅋㅋㅋ ,1주 전 9분 14초," 457,983"
6,동갑내기 처제와 티격태격하다 팩폭맞는 홍구🤣 ,1주 전 10분 20초," 455,227"
7,바다와서 처음보는 폭죽에 흥분해서 보러가자고 설득하는 하임ㅋㅋㅋ ,1주 전 9분 14초," 439,149"
8,처제만 오면 헬파티나는 우리집🏠(feat.국밥먹방) ,1주 전 10분 28초," 506,534"
9,민트맛 아이스크림을 처음 먹어본 하임이 반응ㅋㅋㅋㅋㅋㅋ ,2주 전 9분 43초," 428,139"
10,샛별이랑 처음 보는 사주에서 자녀운을 물어봤는데.....😱 ,2주 전 10분 40초," 300,630"
11,수영장 파티 하는데 하임이보다 더 신나버린 홍구ㅋㅋㅋㅋㅋㅋㅋ ,2주 전 10분 56초," 438,327"
12,감스트 삼촌한테 전화가 왔는데 하임이의 반응🤣ㅋㅋㅋㅋㅋㅋ ,2주 전 11분," 673,899"
13,홍구가 처가 식구들만 챙기는 이유... ,2주 전 13분 2초," 575,140"
14,하루종일 무한 질문해서 하임이 반응보기ㅋㅋㅋㅋㅋ ,3주 전 8분 41초," 631,129"
15,올때마다 문닫아서 실패했던 꽃돼지국밥와서 흥분 최대치인 홍구ㅋㅋㅋㅋ ,3주 전 10분 39초," 920,688"
16,하임이가 꿈 내용을 말해줬는데 좋은 소식이 있을 수도 있다는 생각이 듭니다☺️ ,3주 전 9분 28초," 449,883"
17,우승 공약 지키기 위해 장모님과 처제들 1인당20만원 한우 오마카세 데리고 갔습니다🥰 ,3주 전 12분 9초," 747,836"
18,그동안 모두 감사했습니다. ,4주 전 6분 54초," 614,685"
19,홍구 대회우승 유치원 선생님들한테 자랑하고 집에 온 하임이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,4주 전 11분 44초," 611,706"
20,제로투 따라하는 하임이의 놀라운 학습효과ㅋㅋㅋㅋ ,1개월 전 9분 35초," 554,922"
21,외제차 다 처분하게 만들어버린 풀개조 카니발 드디어 리뷰🚗 ,1개월 전 14분 19초," 600,891"
22,드디어 격리 해제된 울언니 만나고 왔습니다😊 ,1개월 전 9분 38초," 655,927"
23,샛별좌도 감탄한 프로게이머의 순발력 ㅋㅋㅋㅋㅋ ,1개월 전 8분 50초," 244,149"
24,옥상 캠핑으로 분위기 좋은데 샛별이의 깜짝 폭로😱 ,1개월 전 10분 12초," 412,837"
25,하임이를 위한 특별장소 만들어주기🥰 ,1개월 전 8분 7초," 223,735"
26,하임이한테 동생체험 시켜주기😊 ,1개월 전 9분 48초," 310,575"
27,처제의 첫 번째 헤어모델 실험대상이 되었는데... ,1개월 전 10분 29초," 365,509"
28,홍구의 첫 결승진출 기념 축하 술먹방🍻 ,1개월 전 9분 53초," 336,580"
29,1초뒤를 예상했지만 ....🥺 ,1개월 전 8분 48초," 336,888"
